title,description
Deputy Housekeeper,"A general manager's secretary is responsible for carrying out clerical, phone and administrative responsibilities while simultaneously representing the executive office. ... The secretary often coordinates inter-departmental work projects and serves as a liaison between her boss and other company employees."
Deputy Inspector General,"Dealing with the Managing Director's post and correspondence. Set up meetings and appointments, organizing venues and hospitality for visitors etc. Take responsibility for the ordering of stationary and office supplies. Service the board including the production of agendas, minutes and key papers."
Deputy Manager,Related searchJobs similar to software developerWeb designerDatabase AdministratorPostsecondary TeachersComputer and Informati...Information Security Analysts
Deputy Manager Accounts,An executive sous chef's duties include supervising and coordinating every aspect of food production and ensuring a high level of quality and service for the front and back of the house. ... The executive sous chef is generally second in command in the kitchen and answers to the executive chef.
Deputy Manager Accounts & Finance,Supply Chain Managers are responsible for overseeing and managing company's overall supply chain and logistics strategy and operations in order to maximize the process efficiency and productivity.
Deputy Manager Administration,"The typical tasks carried out on a daily basis by a tour operator include:Providing general and specific advice about different travel destinations.Drawing up complicated travel itineraries and ensuring that all the needs of the customers are met.Making arrangements for transport, accommodation, tours, and activities.More items..."
Deputy Manager Civil,Related searchVice presidentsView 2+ moreView 2+Mike PenceJohn C. BreckinridgeJoe BidenAl GoreAaron BurrJohn AdamsJames S. Sherman
Deputy Manager Commercial,"An exhibition designer initially works with the client to discuss and clarify the brief. This covers the themes, ideas or products to be promoted at the show or exhibition. The designer and client also discuss the budget and timescale for the work. Designers then produce plans and prototypes to show the client.Oct 28, 2015"
Deputy Manager Construction,"Logistics documentation assistant for work. Logistics assistants work in a number of industries. Their responsibilities include receiving goods, stocking shelves and ensuring that invoices are filed appropriately. They are expected to be experts in knowing their company's products and how they are to be placed.Apr 27, 2019"
Deputy Manager Design,"Handling Export Documentations The export documentation supervisor, who has expertise in sea freight and export air documentation, ensures that all exports are documented correctly. As a specialist, you provide applicable export documentation needed by each country of destination."
Deputy Manager EDP,"Verifying Documents It is the job of export documentation officers to vet all export documents and ensure adherence to relevant regulations. For example, officers working in a cargo shipping company may approve or reject a client's request for cargo services depending on the authenticity of his documents."
Deputy Manager Electrical,"Job Description for Import Specialist An import specialist detects, and helps prevent, violations of U.S. customs laws and import/export regulations and the entry of illegal drugs/products into the country. They also work to prevent weapons and weapon parts from entering the country."
Deputy Manager Exports,"Duties. As middlemen, export managers plan and coordinate the international shipment of goods. During the course of the day, they may negotiate with a variety of people, such as shippers, agents and vendors, and are expected to have excellent customer service skills in dealing with customers."
Deputy Manager Finance,"As middlemen, export managers plan and coordinate the international shipment of goods. During the course of the day, they may negotiate with a variety of people, such as shippers, agents and vendors, and are expected to have excellent customer service skills in dealing with customers."
Deputy Manager Finance Accounts,"Export sales managers sell products or services to overseas customers. They research potential markets, conduct personal selling visits, organise sales promotions, appoint agents and distributors and sales . negotiate contracts Some might also arrange the transport of goods and the collection of payments."
Deputy Manager Human Resources,"Documentation officer. Keeping accurate information about the objects in their care - their function and provenance - is a basic function of all museums, and the job of documentation officers. You could be inputting data about new acquisitions, researching images for catalogues or developing on-line guides."
Deputy Manager Human Resources & Administration,"A food and beverage assistant performs tasks related to ensuring compliance with safe food prep and handling, storage and sanitation. A food and beverage assistant may assist in working with vendors, ordering food products and beverages.Jun 28, 2018"
Deputy Manager Information Technology,"Responsible for overall operation for the restaurant, food and beverage managers hire staff, purchase food and stock, and make sure everyone is trained on proper food preparation, proper and legal alcoholic beverage service kitchen safety techniques and understand health standards.Aug 19, 2013"
Deputy Manager Law,"Food and beverage supervisors are responsible for the daily operations of businesses that prepare and serve food and drinks to customers. Typical duties include providing an excellent dining experience, managing staff, ensuring efficiency and overseeing health and safety regulations.Jun 29, 2018"
Deputy Manager Legal,"Video Editor job profile The material may include camera footage, dialogue, sound effects, graphics and special effects. ... As a Video Editor at our company, you will be responsible for capturing, editing, and producing photos and videos for internal and external purposes."
Deputy Manager Logistics,"Budgeting and forecasting FP&A's job is to develop the operating and financial plan required to achieve management's strategic plan. This process is also known as corporate performance management. Historically, this meant that FP&A would develop a largely static annual budget that updates once each year."
Deputy Manager Maintenance,"Skillscreative flair and artistic ability.a good eye for colour, texture, fabrics and patterns.excellent attention to detail.an interest in fashion and textiles, and an understanding of trends and materials.understanding and experience of using different textile processes and techniques.More items..."
Deputy Manager Marketing,"As a Sourcing Manager you will be responsible for handling the company's end to end sourcing operations. The successful candidate will be able to appraise and improve our sourcing activities by analyzing the company's spending, supplying partnerships and new possibilities."
Deputy Manager Materials,Related searchEngineering industries listMetal fabricationIndustrial engineeringEngineeringMetallurgyManufacturing engineering
Deputy Manager Mechanical,"Job Duties A group facilitator is responsible for helping participants reach decisions and accomplish goals. Your duties include working with groups to clarify meeting content, objectives and to establish ground rules that govern behavior."
Deputy Manager Operations,"Facilities managers are responsible for the general upkeep and maintenance of buildings to ensure that they meet health and safety standards and also the legal requirements. ... Facilities managers are also responsible for managing the office systems, which can often include the IT and office equipment.Apr 9, 2015"
Deputy Manager P&A,"Today, a facilities engineer (vs. a facilities manager) typically has hands-on responsibility for the employer's Electrical engineering, maintenance, environmental, health, safety, energy, controls/instrumentation, civil engineering, and HVAC needs."
Deputy Manager Personnel,"Responsibilities of the job include:planning and organising production schedules.assessing project and resource requirements.estimating, negotiating and agreeing budgets and timescales with clients and managers.ensuring that health and safety regulations are met.determining quality control standards.More items..."
Deputy Manager Planning,"Counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations. ... Confer with parents or guardians, faculty, other counselors, and administrators to resolve students' behavioral, academic, and other problems."
Deputy Manager Procurement,"Ask other people a questionAsk other people a questionPosting publicly. Learn more(function(){var a=document.querySelector(""#taw""),b=document.querySelector(""#topstuff"");if(a&&!a.clientHeight&&b&&!b.clientHeight)for(var c=document.querySelector(""#rso"").children,d=0;d<c.length;++d)if(0<c[d].clientHeight){var e=c[d].querySelector(""div g-section-with-header"");e&&(e.style.marginTop=0);break};}).call(this);Thanks for the upvote. Do you want to be notified when others post answers to this question?YesFollowing this question. You'll get notifications when people post new answers to this question."
Deputy Manager Production,"Graphic designers create visual concepts, by hand or using computer software, to communicate ideas that inspire, inform, or captivate consumers. They develop the overall layout and production design for advertisements, brochures, magazines, and corporate reports."
Deputy Manager Project,"Ask other people a questionAsk other people a questionPosting publicly. Learn more(function(){var a=document.querySelector(""#taw""),b=document.querySelector(""#topstuff"");if(a&&!a.clientHeight&&b&&!b.clientHeight)for(var c=document.querySelector(""#rso"").children,d=0;d<c.length;++d)if(0<c[d].clientHeight){var e=c[d].querySelector(""div g-section-with-header"");e&&(e.style.marginTop=0);break};}).call(this);Thanks for the upvote. Do you want to be notified when others post answers to this question?YesFollowing this question. You'll get notifications when people post new answers to this question."
Deputy Manager Purchase,Related searchJob roles listView 2+ moreView 2+Database AdministratorWeb designerComputer SoftwareSystems engineeringBusinessData scienceInternet Marketing
Deputy Manager Quality Assurance,"Duties of Associate Professorship Professors do more than teach classes. They also conduct scholarly research and present their findings at conferences and through publication in peer-reviewed journals.Apr 19, 2019"
Deputy Manager Research & Development,"Faculty rewards often are based on the extent to which faculty members contribute to their disciplines through publishing articles and books, presenting research findings, giving performances and exhibits, or disseminating their work to external audiences in other ways."
Deputy Manager Sales,Oversees all aspects of an organization's auditing function. Plans and directs all accounting and financial data. Designs internal auditing procedures and ensures they are followed. Monitors procedures for effectiveness and provides recommendations for improvement.
Deputy Manager Security,Related searchFarming industryView 3+ moreView 3+AgricultureAgribusinessAnimal HusbandryProductionTechnologyFood industrySustainability
Deputy Manager Stores,"This assistant position can either be with a hair stylist in a salon, or with a fashion stylist, assisting at photo shoots and other events. ... Primarily, your duties are to make sure the fashion stylist has all of the appropriate clothes and accessories on hand, as well as assisting in the makeup and dressing of models."
Deputy Manager Systems,"Sales Associate Responsibilities: Greeting customers, responding to questions, improving engagement with merchandise and providing outstanding customer service. Operating cash registers, managing financial transactions, and balancing drawers. Achieving established goals.May 22, 2019"
Deputy News Editor,"Fashion consultants, often called personal stylists or image consultants, help clients develop and enhance their professional and/or personal images. They help clients choose clothes for a variety of occasions and help them decide which styles are flattering and communicate the appropriate message."
Deputy Officer,"A Fashion Designer designs and assists with the production of clothing, shoes and accessories, identifies trends, and selects styles, fabrics, colors, prints and trims for a collection. Fashion Designers either design haute couture or ready-to-wear clothing.May 16, 2019"
Deputy Project Manager,"Job Duties An instructor may also teach fashion drawing, sewing techniques, event and fashion show production, merchandising, fashion trends and digital design. Other job duties include putting together lesson plans, evaluating students, keeping office hours and participating in school functions as needed."
Deputy Regional Manager,Related searchFashion Merchandising booksView 2+ moreView 2+Fashion Brand MerchandisingVisual Merchandising for Fashi...Fashion Retailing: From Ma...Visual merchandising and disp...Fashion Merchandising: Principle...Fashion Buying: From Tre...Basics Fashion Manage...
Deputy Sales Manager,Their main responsibilities include providing fashion advice; choosing and co-ordinating outfits for models in photo shoots or actors in television and film; and choosing props and accessories and preparing them for shoots.
Deputy Superintendent,Related searchDifferent careers in mediaEditingVideo editorLine producerProduction teamTechnical communicationNews analystMedia planning
Deputy Superintendent Of Police,"Overview: Tasks & Requirements As a Field Application Engineer, you are the link between development, customer and sales. Your goal is to generate technical solutions and successfully implement them at the customer. You will use existing products and concepts to work out system solutions for customers."
Design & Development Engineer,"Using problem-solving skills, these engineers help ensure that products and departments are functioning properly. Typically, Field Engineer responsibilities include maintenance, assisting with installation, ongoing routine checks on machinery, completing research and staying current with the latest technology.Dec 21, 2016"
Design & Development Manager,A field sales executive travel to locations to advocate supply of products to the customers they have targeted and the ones who they are already dealing with. It also involves operating outside their offices pitching potential clients and to maximise the company's sales of their products and services.
Design & Estimation Engineer,"We are looking for a competitive field sales representative to develop sales strategies and attract new clients. ... The successful candidate will play a key role in increasing income and revenue by managing and negotiating with clients, generating leads, qualifying prospects and managing sales of products and services."
Design & Production Engineer,"A field worker is someone who works outside of the office and travels to different locations. Many different industries utilize field workers, including sales, technology, and construction, so their exact job duties vary widely depending on the organization."
Design Analyst,"A film director controls a film's artistic and dramatic aspects and visualizes the screenplay (or script) while guiding the technical crew and actors in the fulfilment of that vision. The director has a key role in choosing the cast members, production design, and the creative aspects of filmmaking."
Design Architect,"Video Editor job profile Video Editors are generally responsible for editing and assembling recorded raw material into a suitable, finished product ready for broadcasting. The material may include camera footage, dialogue, sound effects, graphics and special effects."
Design Assistant,"Filmmakers are responsible for hiring a camera crew, makeup artists, choreographers, stunt people, editors, film scorers and anyone else needed in the process of making the film. The crew, like the cast, is under the direct supervision of the filmmaker."
Design Associate,Related searchAccountant industryView 3+ moreView 3+Financial accountingFinancial ManagementFinanceAccountingCost accountingAuditFinancial statement
Design Consultant,"Accounting Manager Responsibilities Include: Managing and overseeing the daily operations of the accounting department. Monitoring and analyzing accounting data and produce financial reports or statements. Establishing and enforcing proper accounting methods, policies and principles."
Design Coordinator,"Financial Advisor Responsibilities: Answering client questions about financial plans and strategies and giving financial advice. Advising strategies for clients in insurance coverage, investment planning, cash management and other areas to help them reach financial objectives. ... Managing and updating client portfolios.Jul 23, 2019"
Design Draughtsman,Financial Analyst Job Duties: Determines cost of operations by establishing standard costs; collecting operational data. ... Guides cost analysis process by establishing and enforcing policies and procedures; providing trends and forecasts; explaining processes and techniques; recommending actions.
Design Engineer Embedded Systems,"Finance Assistant responsibilities include processing payments, maintaining cost reports and managing invoices. If you have an accounting background and are interested in procedures like tax management and budget preparation, we'd like to meet you."
Design Engineer Executive,"Duties for the Financial Controller will include managing accounting records, evaluating and managing risk, ensuring compliance with regulations, publishing financial statements, overseeing accounting operations, analyzing financial data, monitoring expenditure, forecasting revenue, coordinating auditing processes, and ...May 16, 2019"
Design Engineer Research & Development,"Finance Director Job Duties: Oversee, review, and adhere to the budgets for each business department. Assist in company-wide budgetary planning. Ensure that all of the company's financial practices are in line in statutory regulations and legislation. ... Monitor cash flow, accounts, and other financial transactions."
Design Engineer Trainee,"Head of Finance responsibilities include creating forecasting models, assessing risk in investments and ensuring all accounting activities comply with regulations. To be successful in this role, you should have experience crafting financial strategies and managing accounting teams."
Design Executive,"Finance Manager Job Duties: Monitor the day-to-day financial operations within the company, such as payroll, invoicing, and other transactions. Oversee financial department employees, including financial assistants and accountants. ... Establish and maintain financial policies and procedures for the company."
Design Head,Related searchesView 15+ moreView 15+Accounting Manager job desc...Financial Analyst job desc...IT executive job desc...Chief job descriptionTreasurer job descriptionIT manager job desc...President Job Description
Design Leader,"Financial Accountant Job Duties: Prepares monthly statements by collecting data; analyzing and investigating variances; summarizing data, information, and trends. Prepares state quarterly and annual statements by assembling data."
Design Manager,"Financial advisors advise clients on investments, taxes, estate planning, college savings accounts, insurance, mortgages, and retirement. They are also known as a personal financial advisor, financial planner, financial adviser, financial service advisor and investment adviser.Jul 23, 2019"
Design Officer,Financial Analyst Job Duties: Determines cost of operations by establishing standard costs; collecting operational data. ... Improves financial status by analyzing results; monitoring variances; identifying trends; recommending actions to management. Reconciles transactions by comparing and correcting data.
Design Trainee,Related searchesFinancial Analyst job desc...Financial manager job desc...Accountant job descriptionInsurance agent job descriptionLoan officer job descriptionManagement Analyst job desc...
Design Verification Engineer,"Duties for the Financial Controller will include managing accounting records, evaluating and managing risk, ensuring compliance with regulations, publishing financial statements, overseeing accounting operations, analyzing financial data, monitoring expenditure, forecasting revenue, coordinating auditing processes, and ...May 16, 2019"
Designer,"Financial Advisor Responsibilities: Talking to clients to determine their expenses, income, insurance coverage, financial objectives, tax status, risk tolerance, or other information needed to develop a financial plan. Answering client questions about financial plans and strategies and giving financial advice.Jul 23, 2019"
Designer & Animator,"Financial consultants work with companies or individuals to plan for their financial futures by offering information and guidance on topics that include taxes, investments and insurance decisions. Often called financial advisors, these consultants work closely with clients to offer personalized financial advice."
Designer & Site Supervisor,"Key Responsibilities Executives analyze financial reports and ledgers to innovate strategies that could edge the company over competitors. They'll order internal and external audits to double check that all regulations are running in compliance to industry regulations.Nov 1, 2016"
Designer & Supervisor,Related searchEquipments used in firefightingView 3+ moreView 3+Fire ExtinguishersBunker gearFire engineFire blanketFire hydrantFire hoseSelf‑contained breathing apparatus
Designer Merchandiser ,Related searchEquipments used in firefightingView 3+ moreView 3+Fire ExtinguishersFire engineBunker gearFire blanketFire hydrantFire hoseSelf‑contained breathing apparatus
Designer Trainee,"Flight Attendant job profile Flight Attendants are generally responsible for ensuring passengers' safety and comfort at all times. Their duties include ensuring that the emergency equipment is working, that the cabin is clean, and that there is an adequate supply of food and beverages."
Desk Editor,"The role of a Flight Lieutenant generally involves management of a team of specialists Non-Commissioned Officers and airmen, within their specific branch. ... In the Air Training Corps, a flight lieutenant is usually the officer commanding of a squadron."
Desk Incharge,Related searchesFlight attendant job desc...Flight Instructor job desc...Air traffic controller job desc...Aerospace engineer job desc...
Desk Reporter,"Flight Attendant job profile Flight Attendants are generally responsible for ensuring passengers' safety and comfort at all times. Their duties include ensuring that the emergency equipment is working, that the cabin is clean, and that there is an adequate supply of food and beverages."
Desktop & Network Engineer,"Ask other people a questionAsk other people a questionPosting publicly. Learn more(function(){var a=document.querySelector(""#taw""),b=document.querySelector(""#topstuff"");if(a&&!a.clientHeight&&b&&!b.clientHeight)for(var c=document.querySelector(""#rso"").children,d=0;d<c.length;++d)if(0<c[d].clientHeight){var e=c[d].querySelector(""div g-section-with-header"");e&&(e.style.marginTop=0);break};}).call(this);Thanks for the upvote. Do you want to be notified when others post answers to this question?YesFollowing this question. You'll get notifications when people post new answers to this question."
Desktop Administrator,"Retail floor managers supervise the new employees and promote the company culture to staff members. They make sure that workers know how to run cash registers and handle simple customer complaints. One role retail floor managers take on is making sure their departments perform well in sales.Dec 12, 2017"
Desktop Engineer,"Q&A on GoogleWhat is a cleaning supervisor job description?Report9 months agoAnswer(function(){google.sc=google.sc||{};google.sc.init=function(b,e,q,f,h,k,r){if((b=document.getElementById(b))&&(0!=b.offsetWidth||0!=b.offsetHeight)){var l=b.querySelector(""div""),m=l.querySelector(""div""),c=0,g=l.scrollWidth-l.offsetWidth;if(0<e){var n=m.children;c=n[e].offsetLeft-n[0].offsetLeft;if(f){for(var p=c=0;p<e;++p)c+=n[p].offsetWidth;c=Math.min(g,c)}}c+=q;e=Math.min(f?g-c:c,g);l.scrollLeft=f&&(h||r)?c:f&&k?-c:e;var a=b.getElementsByTagName(""g-left-button"")[0],d=b.getElementsByTagName(""g-right-button"")[0];a&&d&&(h=/\btHT0l\b/,k=/\bpQXcHc\b/,a.className=a.className.replace(h,""""),d.className=d.className.replace(h,""""),0==e?a.className=""pQXcHc ""+a.className:a.className=a.className.replace(k,""""),e==g?d.className=""pQXcHc ""+d.className:d.className=d.className.replace(k,""""),0<=a.className.indexOf(""SL0Gp"")&&0==e&&e==g&&(m.style.paddingLeft=""0px"",m.style.paddingRight=""0px"",a.style.display=""none"",d.style.display=""none"",b.style.paddingLeft=f?""0px"":""48px"",b.style.paddingRight=f?""48px"":""0px"",b.style.textAlign=f?""left"":""right"",document.getElementById(""fade_forward"").style.display=
""none"",document.getElementById(""fade_reverse"").style.display=""none""),setTimeout(function(){a.className+="" tHT0l"";d.className+="" tHT0l""},50))}};}).call(this);(function(){var id='_8exwXbS4KbLgz7sPodST-A814';var index=0;var offset=0;var is_rtl=false;var is_ie=false;var is_gecko=false;var is_edge=false;google.sc.init(id,index,offset,is_rtl,is_ie,is_gecko,is_edge);})();Ask other people a questionPosting publicly. Learn more(function(){var a=document.querySelector(""#taw""),b=document.querySelector(""#topstuff"");if(a&&!a.clientHeight&&b&&!b.clientHeight)for(var c=document.querySelector(""#rso"").children,d=0;d<c.length;++d)if(0<c[d].clientHeight){var e=c[d].querySelector(""div g-section-with-header"");e&&(e.style.marginTop=0);break};}).call(this);Thanks for the upvote. Do you want to be notified when others post answers to this question?YesFollowing this question. You'll get notifications when people post new answers to this question."
Desktop Support Engineer,Related searchFood related to scienceFood technologyMedical nutrition therapyFood engineeringFood processing
Detailing Engineer,"Job Description, salaries and benefits. Footwear designers come up with creative and practical designs for shoes and other footwear. ... working with other designers on styles and trends. making rough design drawings by hand or using a computer.Oct 12, 2012"
Developer,"The foreman assigns duties and is responsible for monitoring the progress of a project and keeping it on track from a time and budgetary standpoint. He must ensure workers are qualified and knowledgeable about their roles and make assignments according to skill sets.Jun 28, 2018"
Developer & Tester,"Related searchFreelancing websitesView 3+ moreView 3+UpworkPeoplePerHourFiverr99designsToptalCraigslist, Inc.FlexJobs Corporation"
Developer Analyst,"Related searchTop freelance workView 3+ moreView 3+UpworkFiverrFlexJobs CorporationToptalPeoplePerHourCraigslist, Inc.99designs"
Developer Relation Engineer,Related searchContent writing industrySearch Engine OptimizationCopywritingContent marketingContent creation
Developer Trainee,"Content Writer Job Summary A writer is expected to write engaging content for the company's promotion. He or she would also be responsible for planning and create content for print, reviews, product descriptions and digital media.Feb 9, 2019"
Development Consultant,Related searchContent writing industrySearch Engine OptimizationCopywritingContent marketingContent creation
Development Engineer,"Directors' main duties include casting, script editing, shot composition, shot selection and editing. While the practical aspects of filmmaking, such as finance and marketing, are left to the producer, Directors must also always be aware of the constraints of the film's budget and schedule."
Development Executive,"Copy editors review copy for errors in grammar, punctuation, and spelling and check the copy for readability, style, and agreement with editorial policy. They suggest revisions, such as changing words and rearranging sentences and paragraphs to improve clarity or accuracy."
Development Leader,Related searchFashion designerView 3+ moreView 3+Karl LagerfeldAlexander McQueenStella McCartneyVivienne WestwoodMarc JacobsCoco ChanelRalph Lauren
Development Manager,Related searchWriting based careersView 2+ moreView 2+EditingCopy editingProfessional writingReviewTranslationProofreadingCommissioning editor
Development Officer,Related searchFreelancing websites99designsFiverrUpworkBehance
Development Specialist,"Business Aspects. Freelance photographers can spend as much time on marketing and business as they do on taking and editing photos. ... They must also write their own business plans, create budgets, invest in and maintain their photography equipment, and handle everything from insurance to taxes.Jul 24, 2018"
Diagnostic Technician,"A film producer is a person who oversees film production. Either employed by a production company or working independently, producers plan and coordinate various aspects of film production, such as selecting the script; coordinating writing, directing, and editing; and arranging financing."
Dialysis Technician,Related searchContent writing industrySearch Engine OptimizationCopywritingContent marketingContent creation
Diet Counsellor,Related searchFreelancing websitesUpworkFiverrPeoplePerHourBehance
Dietician,"Q&A on GoogleIs there any vacancy for a french teacher ?Report5 months agoAnswerwhich book is used to teach kids for icse frenchReport4 days agoAnswerHow to become a teacher at alliance francaise?Report7 months agoAnswer(function(){google.sc=google.sc||{};google.sc.init=function(b,e,q,f,h,k,r){if((b=document.getElementById(b))&&(0!=b.offsetWidth||0!=b.offsetHeight)){var l=b.querySelector(""div""),m=l.querySelector(""div""),c=0,g=l.scrollWidth-l.offsetWidth;if(0<e){var n=m.children;c=n[e].offsetLeft-n[0].offsetLeft;if(f){for(var p=c=0;p<e;++p)c+=n[p].offsetWidth;c=Math.min(g,c)}}c+=q;e=Math.min(f?g-c:c,g);l.scrollLeft=f&&(h||r)?c:f&&k?-c:e;var a=b.getElementsByTagName(""g-left-button"")[0],d=b.getElementsByTagName(""g-right-button"")[0];a&&d&&(h=/\btHT0l\b/,k=/\bpQXcHc\b/,a.className=a.className.replace(h,""""),d.className=d.className.replace(h,""""),0==e?a.className=""pQXcHc ""+a.className:a.className=a.className.replace(k,""""),e==g?d.className=""pQXcHc ""+d.className:d.className=d.className.replace(k,""""),0<=a.className.indexOf(""SL0Gp"")&&0==e&&e==g&&(m.style.paddingLeft=""0px"",m.style.paddingRight=""0px"",a.style.display=""none"",d.style.display=""none"",b.style.paddingLeft=f?""0px"":""48px"",b.style.paddingRight=f?""48px"":""0px"",b.style.textAlign=f?""left"":""right"",document.getElementById(""fade_forward"").style.display=
""none"",document.getElementById(""fade_reverse"").style.display=""none""),setTimeout(function(){a.className+="" tHT0l"";d.className+="" tHT0l""},50))}};}).call(this);(function(){var id='_Xe1wXZXzNJHjz7sPja6A4AY5';var index=0;var offset=0;var is_rtl=false;var is_ie=false;var is_gecko=false;var is_edge=false;google.sc.init(id,index,offset,is_rtl,is_ie,is_gecko,is_edge);})();Ask other people a questionPosting publicly. Learn more(function(){var a=document.querySelector(""#taw""),b=document.querySelector(""#topstuff"");if(a&&!a.clientHeight&&b&&!b.clientHeight)for(var c=document.querySelector(""#rso"").children,d=0;d<c.length;++d)if(0<c[d].clientHeight){var e=c[d].querySelector(""div g-section-with-header"");e&&(e.style.marginTop=0);break};}).call(this);Thanks for the upvote. Do you want to be notified when others post answers to this question?YesFollowing this question. You'll get notifications when people post new answers to this question."
Digital Artist,"A hotel Front Office Manager is tasked with making sure that the Front Office – the place where guests first come into contact with the hotel and staff – runs smoothly and effectively. Front Office Manager responsibilities include: ... Ensuring the front desk provides a professional and friendly service for guests.Aug 31, 2017"
Digital Cartographer,"Office Administrator Duties and ResponsibilitiesWelcome visitors and providing assistance as needed.Monitor and maintain office equipment; inventory supplies and order replacement supplies as needed.Create, update, and maintain personnel records, financial records, and other records/data.Assist with bookkeeping.More items..."
Digital Design Engineer,"Front desk assistants, also known as receptionists, are usually the first point of contact for anyone calling or visiting a business. They're typically responsible for answering the phone, directing calls and greeting guests and may perform some administrative work, such as maintaining files or spreadsheets.Jun 27, 2018"
Digital Designer,Related searchesView 5+ moreView 5+Receptionist job descriptionHotel manager job desc...Fresher job descriptionSales executive job desc...Supervisor job descriptionHotel Coordinator job Desc...Restaurant manager job desc...
Diploma Engineer,"A hotel Front Office Manager is tasked with making sure that the Front Office – the place where guests first come into contact with the hotel and staff – runs smoothly and effectively. Front Office Manager responsibilities include: ... Ensuring the front desk provides a professional and friendly service for guests.Aug 31, 2017"
Diploma Engineer Trainee,"A front office manager is the senior person in an office environment and accountable for maintaining a professional work environment, staff supervision, and administrative support. ... These tasks can vary from managing accounting functions to allocating work assignments to approving the purchasing of office supplies."
Diploma Trainee,Related searchesSpa Receptionist job Desc...Lobby Ambassador Job Des...Airport representative job desc...Hotel manager job desc...Public Area Supervis...Cook job descriptionWaiter job description
Diploma Trainee Engineer,Related searchesView 5+ moreView 5+Front Desk Agent jo...Night Manager job desc...Front Desk Clerk job...Guest Service Agent jo...Hotel manager job desc...Night Auditor job desc...Housekeeping job description
Direct Marketing Executive,"Typical responsibilities of the job include:interviewing course applicants.lecture planning, preparation and research.contact and teaching time with students.checking and assessing students' work.encouraging personal development via tutorial or pastoral work.invigilating examinations.attending staff meetings.More items..."
Direct Sales Executive,"Functional analysts, also known as computer systems analysts or system analysts, study the way computer systems function. When they find problems, they recommend systems and procedures to make operations more efficient and effective."
Director,"Functional analysts begin their jobs by gathering information through interviews with employees and managers, and studying the procedures and systems currently in place. ... They run tests to ensure that systems meet specifications, write user manuals and other documentation, and train existing users on new capabilities."
Director & Chief Executive Officer,"Ask other people a questionAsk other people a questionPosting publicly. Learn more(function(){var a=document.querySelector(""#taw""),b=document.querySelector(""#topstuff"");if(a&&!a.clientHeight&&b&&!b.clientHeight)for(var c=document.querySelector(""#rso"").children,d=0;d<c.length;++d)if(0<c[d].clientHeight){var e=c[d].querySelector(""div g-section-with-header"");e&&(e.style.marginTop=0);break};}).call(this);Thanks for the upvote. Do you want to be notified when others post answers to this question?YesFollowing this question. You'll get notifications when people post new answers to this question."
Director Business Development,Related searchBest GIS softwareView 3+ moreView 3+ArcGISQGISArcMapMaptitudeGRASS GISSAGA GISFalconView
Director Executive,Related searchGIS programsView 3+ moreView 3+ArcGISQGISMapInfo ProfessionalMaptitudeOracle Spatial and GraphTerrSetWhitebox Geospatial Analysis...
Director Finance,"GIS technicians make maps and customized geographic information systems (GIS) applications and manipulate data to serve a variety of purposes. They read and interpret maps, manipulate and understand digital land data, and manage data entered into a GIS database."
Director Human Resources,"Game designers are an important part of a comprehensive team of designers and developers that coordinate the complex task of creating a new video game. Game designers have duties like designing characters, levels, puzzles, art and animation. They may also write code, using various computer programming languages."
Director Information Technology,"Their job tasks include developing gaming programs and networks for third-party use, designing games, and creating game mechanics that coordinate with a story. The tasks they perform are similar to those attributed to software engineers, software developers, and game designers."
Director Marketing,Related searchGame producers listView 3+ moreView 3+Michael MorhaimeEd BoonCliff BleszinskiAkihiro HinoAlex RigopulosDon BluthHal Barwood
Director Of Photography,"Duties of a Game Developer Designers, producers and graphic artists all contribute to the final product. However, programmers and software developers turn the idea into code, which provides the game with its operating instructions. Game and software developers create the core features of a video game."
Director Operations,"Fashion/clothing designers design clothes, accessories and shoes. ... Others work in a team creating a whole range of mass-produced fashions, or specialise in particular areas such as sportswear. The responsibilities of a designer may include: producing concepts.Sep 23, 2015"
Director Producer,"Merchandiser Responsibilities Planning and developing merchandising strategies. Analyzing sales figures, customers reactions and market trends to anticipate product needs. Collaborating with buyers, suppliers, distributors and analysts to negotiate prices, quantities and time-scales."
Director Project,Related searchesView 15+ moreView 15+Store Manager job desc...Restaurant manager job desc...Hotel manager job desc...CEO job descriptionFront Office Manager...Project manager job desc...Vice President job desc...
Director Sales,"If hired, a general manager of administration is responsible for overseeing all administrative functions in your business. A major part involves leading and directing employees. She delegates administrative tasks, such as accounting, paperwork and payroll, while giving you the freedom to deal with other issues."
Director Sales & Marketing,"Key Skills: Excellent management, organizatio..."
Director Technical,"Typical responsibilities of the job include: convening and servicing annual general meetings (AGMs)/meetings (producing agendas, taking minutes, conveying decisions, handling meeting correspondence and so on) providing legal, financial and/or strategic advice during and outside of meetings."
Dispatch Assistant,Years of Experience: Education Level
Dispatch Clerk,"The manager is responsible for overseeing and leading the work of a group of people in many instances. The manager is also responsible for planning and maintaining work systems, procedures, and policies that enable and encourage the optimum performance of its people and other resources within a business unit."
Dispatch Executive,"General Manager Responsibilities:Overseeing daily business operations.Developing and implementing growth strategies.Training low-level managers and staff.Creating and managing budgets.Improving revenue.Hiring employees.Evaluating performance and productivity.Analyzing accounting and financial data.More items...•May 16, 2019"
